Date,Germany,Spain,France,Italy,UK,US,Japan
01/04/2005,603734,255108,476598.1,407013.1,386186.5,14839.782,488136.6
01/07/2005,608507.2,257527,478965.1,409703,390704.6,14972.054,492858.1
01/10/2005,610893.7,260220,482413.2,410701.1,396558.1,15066.597,493724.2
01/01/2006,616634.4,263038,486322,412287.6,397614.2,15267.026,494529.3
01/04/2006,626503.1,265785,491264.6,414754.9,398500.2,15302.705,495843.6
01/07/2006,632759.7,268409,491226,416199.2,398755.8,15326.368,494926.9
01/10/2006,641015.9,270958,494887.6,421459.1,400162.1,15456.928,501464.3
01/01/2007,643660.5,273730,498807.1,422119.1,404143.6,15493.328,505027.3
01/04/2007,648369.1,275950,502572,421755.5,407059.9,15582.085,505684.1
01/07/2007,653851.7,278188,504347.7,421711,410507.4,15666.738,503098
01/10/2007,655722.3,280582,505400.8,421200.3,413923.1,15761.967,505618.7
01/01/2008,661462.9,281862,507682.7,425552,415396.7,15671.383,507250.9
01/04/2008,659592.3,282019,505429.7,421528.7,412322.1,15752.308,504866.2
01/07/2008,657270.3,279888,503799.9,415752.6,405531.7,15667.032,498525.8
01/10/2008,644499,277069,496689.4,406228.2,396725.5,15328.027,486661.9
01/01/2009,615586.3,272638,488484.2,395107.6,390129.7,15155.94,463219.3
01/04/2009,616037.8,269998,488028.2,392011.6,389390.2,15134.117,472859.3
01/07/2009,619843.3,269158,488844.5,394154.5,389944.2,15189.222,473114.1
01/10/2009,625454.7,268989,492211.4,395593.5,391294.1,15356.058,479841.5
01/01/2010,629937.4,269801,494112.7,397219.5,393058.8,15415.145,483784.6
01/04/2010,642902.6,270292,496714.5,399458,396434.4,15557.277,490207.6
01/07/2010,648256.3,270423,499662.1,401611.8,398726.7,15671.967,499192.8
01/10/2010,653545.6,270419,503149.7,404498.5,399246.1,15750.625,495303.9
01/01/2011,665026.6,269444,508433.4,405298.1,402238.8,15712.754,488094.5
01/04/2011,666252.1,268153,508697.1,405734.4,402832.8,15825.096,484893.3
01/07/2011,669541.7,267063,509864.2,403383.1,403917.1,15820.7,497095.9
01/10/2011,669606.2,265479,511295,399847.6,404587.5,16004.107,496483.6
01/01/2012,671476.8,263175,511710.4,396283.8,407208.1,16129.418,502606.4
01/04/2012,672250.8,260671,510832.2,392596.7,406988.9,16198.807,498568.7
01/07/2012,674185.8,258745,511804.1,390735.9,411835.5,16220.667,496757.1
01/10/2012,670960.7,256217,511423.5,388598.4,410893.1,16239.138,498187.4
01/01/2013,669058.1,255338,511169.4,384637.3,413550.1,16382.964,503858.3
01/04/2013,675250.1,255124,514705.4,384622.7,415817.8,16403.18,508062.5
01/07/2013,679055.6,254950,514842.5,386132.6,419545.5,16531.685,512321.5
01/10/2013,681571.1,255677,517296.5,385405.1,421508.5,16663.649,512171.6
01/01/2014,688424.5,256688,517652,385815.4,425041.5,16621.696,516854
01/04/2014,688037.5,257680,518463.5,385418.1,428579.1,16830.111,507385
01/07/2014,690424,259433,520804.4,386329,431582.7,17033.572,507802.6
01/10/2014,697003.2,261379,521382.1,386186.7,434455.3,17113.945,510280.2
01/01/2015,696116.2,264443,523757.8,387019.1,436382.9,17254.744,516878.7
01/04/2015,700179.9,266906,523576.2,388517.1,438866.2,17397.029,518015.7
01/07/2015,702437.5,269498,525757.6,389539.7,440765.5,17438.802,517624.4
01/10/2015,706243.2,272063,526830,391016,444041.1,17456.225,515539.6
01/01/2016,712693.1,273898,530237.5,391944.6,445481,17523.374,518949.3
01/04/2016,715853.8,275758,528704.3,392868.2,446177.8,17622.486,519519.7
01/07/2016,717079.3,277861,529837.5,394294.9,448282.7,17706.705,520559.6
01/10/2016,719852.9,279431,533068.2,396158.5,451606.5,17784.185,521652
01/01/2017,727834.9,281707,537611.8,398362.2,453527.7,17863.023,526010
01/04/2017,731834,284169,541277.2,399900.7,454712.9,17995.15,528820.6
01/07/2017,736091.2,285986,544737.8,401493.5,457067.1,18120.843,532007.3
01/10/2017,740025.7,288064,548755.9,403103,458899.1,18223.758,533770.3
01/01/2018,742783.2,289861,550482.3,403982.6,459170.1,18323.963,533205.4
01/04/2018,746137.2,291583,551344.1,403984.8,461041.3,18511.576,536265
01/07/2018,744653.7,293145,552784.6,403468.8,464228.6,18664.973,532787.6
01/10/2018,744782.7,294768,555109,403103.8,465262,18765.256,535213.3
01/01/2019,747943.2,296732,556995.8,403596,467569.7,18910.332,538161.6
